"mat.nr","name","gender","birthday","course","semester","subject","attempt","score"
"481404","Lehi, Chandler","m",1996-09-30,"Ba CS",6,"Mathematics",1,50
"978520","Bovenzi, Sesar","m",1996-12-07,"Ba CS",8,"Computer Networks",1,78
"494954","Hollis, Sean","m",1992-08-21,"Ba CS",6,"OOP",1,80
"915523","Zambrano, Eduardo","m",1994-02-19,"Ba BIS",8,"OOP",1,76
"692796","Nelson, James","m",2003-06-16,"Ba CS",10,"Software Engineering",1,84
"192772","Lee, Huyen","f",1998-11-08,"Ba CS",3,"Data Bases",1,73
"783566","Lee, Nicholas","m",1992-03-07,"Ba CS",4,"Formal Languages",1,55
"356759","Moffit, Malik","m",2004-04-15,"Ba CS",16,"Computer Networks",1,86
"507709","Cooke, Timothy","m",2004-08-11,"Ba CS",4,"Mathematics",1,70
"153350","al-Khalid, Manaahil","f",2001-06-05,"Ba BIS",7,"Data Bases",1,84
"356661","Stoker, Christian","m",1999-03-15,"Ba BIS",4,"Mathematics",1,82
"214659","Martinez, Brackin","m",1992-08-06,"Ba CS",10,"Mathematics",1,78
"513543","Henn, Matthew","m",1994-02-04,"Ba CS",8,"Data Bases",1,69
"789684","Yellowhawk, Edward","m",2003-10-21,"Ba CS",8,"Data Bases",1,66
"445001","el-Toure, Husaam","m",2003-10-02,"Ba CS",8,"Formal Languages",1,81
"161018","Uribe Lopez, Alan","m",1992-06-24,"Ba CS",2,"Computer Networks",1,77
"327451","Calhoun, Jordan","m",1992-09-29,"Ba BIS",4,"Software Engineering",1,74
"219403","el-Jaber, Khaira","f",2000-05-11,"Ba CS",8,"Data Bases",1,62
"692796","Nelson, James","m",2003-06-16,"Ba CS",10,"Mathematics",1,66
"685958","Hoffer, Justin","m",2000-02-28,"Ba BIS",10,"Formal Languages",1,51
"560323","Holmlund, Jesse","m",1990-02-22,"Ba CS",16,"Software Engineering",1,96
"318977","Compton, Azahrae","f",1995-06-25,"Ba CS",17,"Formal Languages",1,79
"366378","Sarwana, Benjamin","m",1998-09-02,"Ba BIS",10,"OOP",1,72
"661479","Hagos, Alicia","f",2003-10-17,"Ba BIS",17,"OOP",1,98
"308443","Lung, William","m",1992-11-05,"Ba BIS",2,"Data Bases",1,81
"445001","el-Toure, Husaam","m",2003-10-02,"Ba CS",8,"OOP",1,97
"339740","al-Afzal, Nawaal","f",2003-12-22,"Ba CS",9,"Software Engineering",1,93
"200091","Thompson, Kenyon","m",2001-06-22,"Ba CS",8,"Mathematics",1,106
"528491","Escudero, Steven","m",2004-07-13,"Ba CS",4,"Formal Languages",1,64
"190889","Bentley, Michael","m",1993-07-04,"Ba CS",2,"Mathematics",1,68
"326706","Montano, Richard","m",2004-01-11,"Ba CS",4,"Computer Networks",1,68
"706156","Clyde, Alexander","m",2004-08-09,"Ba CS",8,"Mathematics",1,68
"326706","Montano, Richard","m",2004-01-11,"Ba CS",4,"Mathematics",1,71
"503968","el-Siddiqi, Bakar","m",1998-04-28,"Ba BIS",2,"Mathematics",1,88
"901246","al-Farooqui, Waail","m",1996-01-31,"Ba BIS",10,"OOP",1,75
"559955","Wilson, Lucas","m",1991-10-03,"Ba CS",3,"Formal Languages",1,80
"654126","Cabral, Natalie","f",1993-04-21,"Ba CS",17,"Computer Networks",1,99
"206878","Schadel, Joshua","m",2004-09-08,"Ba CS",8,"Data Bases",1,71
"308443","Lung, William","m",1992-11-05,"Ba BIS",2,"OOP",1,85
"349093","Prado, Allen","m",1998-07-06,"Ba CS",8,"Computer Networks",1,71
"261231","Kirby, Dominic","m",1998-08-24,"Ba CS",18,"Data Bases",1,91
"864094","Thompson, Monique","f",1990-02-23,"Ba CS",8,"Data Bases",1,82
"840438","Kim, Mary","f",1995-10-15,"Ba BIS",10,"Computer Networks",1,79
"623791","al-Kamal, Jadeeda","f",2004-03-21,"Ba CS",5,"Software Engineering",1,86
"366733","el-Ibrahim, Awad","m",1996-02-16,"Ba CS",2,"Software Engineering",1,85
"937704","Stapp, Blake","m",1992-05-15,"Ba CS",8,"Formal Languages",1,82
"112242","Helm, Hannah","f",1993-03-07,"Ba BIS",19,"Mathematics",1,64
"853552","Smith, Tiana","f",2003-11-28,"Ba CS",4,"Mathematics",1,73
"213809","Martin, Gerhome","m",2000-11-09,"Ba CS",8,"Data Bases",1,68
"639063","Jung, Timothy","m",2000-01-09,"Ba CS",5,"Data Bases",1,70
"276869","al-Mina, Dhaafir","m",2004-12-05,"Ba CS",7,"Software Engineering",1,59
"169387","Dorsett, Brenden","m",2001-01-16,"Ba CS",2,"OOP",1,95
"789684","Yellowhawk, Edward","m",2003-10-21,"Ba CS",8,"Formal Languages",1,81
"327451","Calhoun, Jordan","m",1992-09-29,"Ba BIS",4,"Mathematics",1,87
"170108","Usher-Zamora, Jonathan","m",1996-02-03,"Ba CS",6,"Mathematics",1,81
"485597","Fifita, Baoviet","m",1991-01-11,"Ba CS",6,"Mathematics",1,61
"228103","Stephens, Michileen","f",2004-11-19,"Ba BIS",3,"Mathematics",1,83
"950293","Herrera, Joeal","m",1995-03-05,"Ba CS",11,"Software Engineering",1,89
"513543","Henn, Matthew","m",1994-02-04,"Ba CS",8,"Software Engineering",1,88
"786525","al-Zia, Razeen","m",2002-03-07,"Ba CS",14,"Computer Networks",1,65
"978316","Wolff, Shawn","m",1998-12-23,"Ba CS",2,"Mathematics",1,92
"196672","Stokes, Joshua","m",1997-05-12,"Ba CS",6,"Software Engineering",1,85
"592484","Lopez, Andrew","m",1991-08-08,"Ba BIS",9,"Software Engineering",1,75
"131963","Jenkins, Matthew","m",1993-05-15,"Ba CS",2,"Formal Languages",1,68
"857148","Enriquez Zapata, Shane","m",1990-10-31,"Ba CS",5,"OOP",1,58
"340891","Chaloupka, Marina","f",2003-01-18,"Ba CS",8,"Computer Networks",1,67
"852879","Williams, Eyob","m",1991-06-13,"Ba CS",17,"Mathematics",1,75
"841195","Barela, Bryan","m",1990-02-06,"Ba CS",4,"Formal Languages",1,75
"938987","Watters, Anthony","m",1994-06-02,"Ba BIS",5,"OOP",1,68
"417758","Ruybal, Adam","m",2001-08-24,"Ba CS",17,"Formal Languages",1,79
"377294","Sanchez, Linnaea","f",1997-09-22,"Ba CS",6,"Formal Languages",1,65
"495369","Van, Andrew","m",1990-05-21,"Ba BIS",20,"OOP",1,59
"319006","Hess, Cody","m",2001-04-15,"Ba CS",9,"Software Engineering",1,71
"720490","Healy, Christopher","m",2002-08-25,"Ba BIS",2,"OOP",1,76
"620611","Napue, Jamill","m",2003-11-12,"Ba BIS",2,"Software Engineering",1,88
"960218","Aust, Thomas","m",2000-09-22,"Ba BIS",10,"Computer Networks",1,68
"329660","Baig, Shannon","f",2003-02-24,"Ba CS",13,"Mathematics",1,63
"666770","Noe, Savanna","f",1991-06-19,"Ba CS",18,"Formal Languages",1,79
"744304","Page, Zachary","m",1993-10-11,"Ba CS",10,"Data Bases",1,81
"170783","Puentes, Ailec","m",2003-07-07,"Ba CS",18,"Computer Networks",1,92
"386930","Valaer-Wilson, Tanaya","f",2002-12-01,"Ba CS",4,"Formal Languages",1,101
"827361","Williams, Juwan","m",1995-01-13,"Ba CS",15,"Mathematics",1,57
"234536","Sproveri, Zachary","m",2004-09-17,"Ba CS",10,"Data Bases",1,68
"756426","Young, Jesus","m",2004-03-11,"Ba CS",4,"OOP",1,58
"991565","Hayes, Brant","m",1991-04-11,"Ba CS",4,"Mathematics",1,53
"606023","Moore III, Mahpiya","m",1992-10-30,"Ba CS",6,"Software Engineering",1,66
"860669","Jones, Austin","m",2001-03-28,"Ba BIS",6,"Software Engineering",1,56
"762080","Herrera, Logan","m",2001-12-01,"Ba CS",15,"Data Bases",1,64
"827361","Williams, Juwan","m",1995-01-13,"Ba CS",15,"OOP",1,98
"208420","Gomez-Mendiola, Jared","m",1994-04-14,"Ba CS",10,"Mathematics",1,83
"374561","Chase-Knox, David","m",1992-06-25,"Ba CS",4,"Formal Languages",1,73
"228103","Stephens, Michileen","f",2004-11-19,"Ba BIS",3,"Formal Languages",1,79
"131963","Jenkins, Matthew","m",1993-05-15,"Ba CS",2,"Computer Networks",1,50
"539075","Gardenhire, Tamarra","f",1995-08-17,"Ba CS",7,"Software Engineering",1,92
"445001","el-Toure, Husaam","m",2003-10-02,"Ba CS",8,"Software Engineering",1,45
"978316","Wolff, Shawn","m",1998-12-23,"Ba CS",2,"Software Engineering",1,71
"906216","Nguyen, Kaleb","m",1992-11-16,"Ba BIS",15,"Computer Networks",1,76
"179843","Bol, Ronnie","f",2002-01-19,"Ba CS",10,"Formal Languages",1,70
"991565","Hayes, Brant","m",1991-04-11,"Ba CS",4,"Data Bases",1,48
"745778","Sawyer, Mareno","m",1992-01-29,"Ba CS",5,"Software Engineering",1,85
"234800","Orona, Stephenie","f",1998-02-28,"Ba BIS",8,"OOP",1,83
"907128","Canode, Robert","m",2003-12-13,"Ba CS",10,"Mathematics",1,64
"938987","Watters, Anthony","m",1994-06-02,"Ba BIS",5,"Mathematics",1,75
"399122","el-Mahdi, Rabi","m",1995-06-30,"Ba CS",10,"OOP",1,74
"228103","Stephens, Michileen","f",2004-11-19,"Ba BIS",3,"Computer Networks",1,67
"899899","al-Hadi, Nizaam","m",1998-10-01,"Ba CS",7,"OOP",1,53
"454132","Nichols, Aimee","f",2002-02-18,"Ba CS",14,"Data Bases",1,83
"268020","Papke, William","m",1993-11-23,"Ba CS",11,"OOP",1,46
"432743","Burger, Carla","f",1990-09-30,"Ba CS",7,"OOP",1,74
"705937","Ricketts, Janelle","f",1997-07-16,"Ba BIS",3,"Data Bases",1,68
"923531","Stebbins, Ryan","m",1992-09-03,"Ba CS",7,"Data Bases",1,54
"952063","Kang, Mitchell","m",1992-03-02,"Ba CS",14,"Mathematics",1,70
"185214","Tamayo Mijangos, Pedro","m",1998-06-09,"Ba CS",20,"OOP",1,77
"813559","Sanders, Arianna","f",1996-02-06,"Ba CS",5,"Software Engineering",1,61
"162700","Jensen, Jake","m",1990-11-10,"Ba BIS",10,"Data Bases",1,65
"208918","Cope, Jeremy","m",2003-08-24,"Ba CS",2,"Software Engineering",1,60
"317713","Young, Ryan","m",1992-05-31,"Ba CS",8,"OOP",1,87
"983544","Banks, Eric","m",1994-04-17,"Ba BIS",2,"OOP",1,76
"113497","Young, Albert","m",2002-08-14,"Ba CS",3,"Computer Networks",1,74
"113497","Young, Albert","m",2002-08-14,"Ba CS",3,"OOP",1,52
"817866","Medhin, Marcell","m",1998-11-02,"Ba CS",7,"Mathematics",1,78
"619000","Lujan, Alexandria","f",2000-11-02,"Ba CS",10,"Data Bases",1,100
"962321","Vega, Donovan","m",2001-02-20,"Ba CS",11,"Formal Languages",1,78
"114699","Stonestreet, David","m",1991-01-14,"Ba CS",5,"OOP",1,83
"873424","Reed Littlejohn, Joseph","m",1994-02-14,"Ba CS",6,"OOP",1,67
"405321","el-Lodi, Khaleel","m",1995-07-20,"Ba BIS",4,"Software Engineering",1,79
"372417","Martinez, Kendra","f",1996-03-22,"Ba CS",5,"Computer Networks",1,81
"308443","Lung, William","m",1992-11-05,"Ba BIS",2,"Mathematics",1,86
"514880","Auyeung, Charles","m",1992-05-06,"Ba BIS",1,"Computer Networks",1,73
"875492","el-Dallal, Rifaah","m",1996-06-16,"Ba BIS",13,"Computer Networks",1,51
"159347","Knox, Oree","m",1997-09-26,"Ba CS",6,"Mathematics",1,72
"576482","Bentz, Jeremy","m",2004-08-29,"Ba CS",6,"Data Bases",1,87
"750518","Billings-Higgs, Collin","m",1998-03-24,"Ba CS",10,"OOP",1,58
"576186","Martin, Dominieck","m",2001-12-20,"Ba CS",2,"Software Engineering",1,74
"569592","Kim, Jordan","m",2001-09-18,"Ba CS",9,"Software Engineering",1,84
"588229","Toillion, Bryan","m",2001-02-07,"Ba BIS",10,"Data Bases",1,91
"485597","Fifita, Baoviet","m",1991-01-11,"Ba CS",6,"OOP",1,72
"169387","Dorsett, Brenden","m",2001-01-16,"Ba CS",2,"Formal Languages",1,87
"837659","Kohlgraf, Cheyenna","f",1995-06-05,"Ba CS",11,"Software Engineering",1,77
"830765","el-Jabbour, Afeef","m",2001-09-29,"Ba CS",7,"Data Bases",1,87
"797409","Anchondo, Adriana","f",2004-01-07,"Ba BIS",9,"Formal Languages",1,90
"447628","Johnson, Malcolm","m",1992-03-10,"Ba BIS",14,"Data Bases",1,51
"538007","Duran, Ashley","f",1993-06-18,"Ba CS",5,"Mathematics",1,99
"972573","el-Ishak, Abdul Hakeem","m",2000-04-13,"Ba CS",8,"OOP",1,63
"762080","Herrera, Logan","m",2001-12-01,"Ba CS",15,"OOP",1,65
"646768","Sullivan, Brandon","m",1999-08-24,"Ba CS",8,"Mathematics",1,82
"192161","Nguyen, Jordan","m",2001-01-01,"Ba BIS",8,"Formal Languages",1,76
"186828","el-Rashid, Daamir","m",1997-03-05,"Ba CS",20,"Formal Languages",1,79
"179843","Bol, Ronnie","f",2002-01-19,"Ba CS",10,"Software Engineering",1,80
"934913","el-Atallah, Rashaad","m",1995-12-14,"Ba BIS",10,"Software Engineering",1,81
"533146","Jones, Kenyan","m",1992-10-08,"Ba CS",10,"OOP",1,76
"491830","el-Abed, Mu,Aawiya","m",1993-09-07,"Ba BIS",10,"Formal Languages",1,86
"849266","al-Dallal, Naasif","m",1995-05-27,"Ba CS",7,"Software Engineering",1,86
"692796","Nelson, James","m",2003-06-16,"Ba CS",10,"Formal Languages",1,51
"241834","Pohl, Joel","m",1995-01-18,"Ba CS",9,"Computer Networks",1,80
"304351","Frazier, Gage","m",1991-04-07,"Ba CS",6,"Formal Languages",1,43
"858378","Banuelos Gandara, Jose","m",2001-03-17,"Ba CS",10,"Formal Languages",1,78
"745778","Sawyer, Mareno","m",1992-01-29,"Ba CS",5,"Formal Languages",1,84
"507163","Gibson, Holly","f",1995-07-02,"Ba BIS",10,"Computer Networks",1,85
"891120","Whiteside, Kingahnah","m",1992-06-27,"Ba BIS",4,"Mathematics",1,91
"386930","Valaer-Wilson, Tanaya","f",2002-12-01,"Ba CS",4,"Mathematics",1,29
"588229","Toillion, Bryan","m",2001-02-07,"Ba BIS",10,"Computer Networks",1,93
"434301","Velazquez, Jasmine","f",2000-05-14,"Ba CS",10,"Software Engineering",1,83
"213067","Ellis, Celeste","f",2004-10-04,"Ba BIS",17,"OOP",1,80
"625377","Bigback, Naomi","f",1999-03-25,"Ba BIS",10,"Data Bases",1,68
"591247","Houser, Tyler","m",1999-11-03,"Ba BIS",15,"Formal Languages",1,72
"501451","el-Jalali, Mukarram","m",1998-11-21,"Ba CS",6,"Mathematics",1,82
"966783","Carpenter, De Vanta","m",1995-02-07,"Ba CS",6,"Data Bases",1,84
"626020","Sepulveda, Michael","m",1999-12-11,"Ba BIS",4,"Computer Networks",1,85
"775862","el-Mansour, Awaatif","f",1998-02-27,"Ba CS",2,"Mathematics",1,82
"861414","Kirven, William","m",1998-11-26,"Ba CS",2,"Formal Languages",1,66
"480775","Bermudes, Eduardo","m",1991-07-14,"Ba CS",1,"Computer Networks",1,62
"944882","al-Mohiuddin, Aiman","m",1997-03-09,"Ba BIS",8,"Software Engineering",1,56
"261231","Kirby, Dominic","m",1998-08-24,"Ba CS",18,"Software Engineering",1,102
"277462","Dizon, Sergei","m",2000-07-03,"Ba BIS",2,"Computer Networks",1,73
"903268","Falzon, Jessica","f",2000-10-04,"Ba CS",10,"OOP",1,68
"462280","Xiong, Isaac","m",2002-01-29,"Ba CS",1,"Mathematics",1,67
"666768","el-Hanif, Maaiz","m",1998-11-27,"Ba CS",4,"OOP",1,58
"843539","Yazzie, Richard","m",2002-06-17,"Ba CS",8,"Formal Languages",1,72
"305065","Risma, Rani","f",2000-08-22,"Ba CS",17,"Formal Languages",1,75
"443318","Lopez Ortega, Jonathan","m",2002-01-16,"Ba CS",14,"Formal Languages",1,86
"449048","Broeren, Cierra","f",2000-04-27,"Ba CS",3,"Mathematics",1,41
"214659","Martinez, Brackin","m",1992-08-06,"Ba CS",10,"Formal Languages",1,101
"683912","Martin, Isiah","m",1994-03-12,"Ba CS",8,"Mathematics",1,69
"356661","Stoker, Christian","m",1999-03-15,"Ba BIS",4,"Data Bases",1,87
"837659","Kohlgraf, Cheyenna","f",1995-06-05,"Ba CS",11,"Mathematics",1,91
"452495","Zhu, Jota","m",1997-11-26,"Ba BIS",6,"Formal Languages",1,97
"246896","el-Tawil, Hamood","m",1995-08-28,"Ba CS",9,"Mathematics",1,50
"803849","Ibarra, Justine","f",2004-10-05,"Ba CS",4,"OOP",1,65
"611151","Chun, Jonathan","m",2001-01-19,"Ba BIS",8,"Computer Networks",1,62
"356019","el-Hassen, Faarooq","m",2004-06-20,"Ba CS",10,"Formal Languages",1,79
"127113","al-Salik, Munisa","f",1992-03-08,"Ba CS",9,"Formal Languages",1,62
"311442","Plum, Chager","m",1995-02-11,"Ba CS",15,"Formal Languages",1,73
"318977","Compton, Azahrae","f",1995-06-25,"Ba CS",17,"Mathematics",1,87
"753321","el-Wahba, Mayyaada","f",1997-12-19,"Ba CS",15,"Data Bases",1,95
"208422","Charley, Kimiko","f",1991-05-18,"Ba CS",8,"Computer Networks",1,70
"385424","Strock, Dylan","m",1994-05-01,"Ba CS",8,"OOP",1,61
"303980","Gonzalez Morales, Michael","m",2003-04-27,"Ba CS",7,"OOP",1,56
"433857","al-Saidi, Badri","m",1990-11-07,"Ba CS",8,"Data Bases",1,82
"899899","al-Hadi, Nizaam","m",1998-10-01,"Ba CS",7,"Formal Languages",1,97
"229589","al-Muhammed, Taajuddeen","m",2001-03-08,"Ba CS",5,"OOP",1,75
"830178","Najera, Artemisa","f",1998-06-19,"Ba CS",10,"OOP",1,95
"587020","Brown, Stephanie","f",2004-04-07,"Ba CS",10,"Computer Networks",1,53
"377162","Jiles, Malaki","m",1997-11-13,"Ba CS",20,"Software Engineering",1,108
"474091","Magers, Kiana","f",1996-06-18,"Ba BIS",9,"Data Bases",1,39
"276869","al-Mina, Dhaafir","m",2004-12-05,"Ba CS",7,"Mathematics",1,95
"895272","Salvo, Derek","m",2002-04-12,"Ba BIS",20,"Software Engineering",1,66
"321661","Gettler, Nathan","m",1990-10-27,"Ba CS",7,"OOP",1,76
"950293","Herrera, Joeal","m",1995-03-05,"Ba CS",11,"Computer Networks",1,99
"452232","al-Tamer, Ayyoob","m",1991-12-10,"Ba CS",4,"Software Engineering",1,70
"837659","Kohlgraf, Cheyenna","f",1995-06-05,"Ba CS",11,"Computer Networks",1,76
"727102","Bloomfield, Benjamin","m",2000-09-05,"Ba BIS",12,"OOP",1,87
"619000","Lujan, Alexandria","f",2000-11-02,"Ba CS",10,"Computer Networks",1,49
"234536","Sproveri, Zachary","m",2004-09-17,"Ba CS",10,"Formal Languages",1,79
"867296","Jeffries, Nathan","m",1991-10-19,"Ba BIS",2,"Computer Networks",1,62
"887029","Meltesen-Lee, Daniel","m",2001-03-31,"Ba BIS",2,"Software Engineering",1,54
"466482","Mangat, Emily","f",2002-12-22,"Ba CS",8,"OOP",1,68
"302756","Fugett, Nathaniel","m",1999-06-09,"Ba CS",3,"Computer Networks",1,84
"324352","Michael, Andrew","m",1992-09-04,"Ba CS",3,"Formal Languages",1,84
"773048","Adams, Briona","f",1999-02-28,"Ba CS",16,"Data Bases",1,79
"162700","Jensen, Jake","m",1990-11-10,"Ba BIS",10,"Computer Networks",1,89
"966379","Osazuwa, Amos","m",1992-04-25,"Ba CS",4,"OOP",1,77
"729372","Ferretti, Christopher","m",1996-03-19,"Ba CS",3,"Data Bases",1,76
"450146","Underwood, Wallace","m",1990-04-30,"Ba CS",10,"Computer Networks",1,55
"960787","Moreno-Fonseca, Raul","m",1999-08-01,"Ba BIS",5,"OOP",1,74
"533091","al-Ismail, Razeen","m",2002-06-05,"Ba CS",1,"Formal Languages",1,60
"978316","Wolff, Shawn","m",1998-12-23,"Ba CS",2,"Data Bases",1,56
"168542","Reed, Dakota","m",1995-12-26,"Ba CS",8,"Computer Networks",1,88
"162217","Hogle, Rohit","m",1997-06-17,"Ba CS",4,"OOP",1,50
"217771","Coleman, Charles","m",1997-05-16,"Ba CS",3,"Mathematics",1,48
"776197","Luginbill, Lauren","f",1990-01-20,"Ba CS",14,"OOP",1,56
"202179","Tran, Christian","m",1999-02-21,"Ba CS",1,"Formal Languages",1,80
"758993","Holland, Anthony","m",1995-03-12,"Ba CS",10,"Data Bases",1,78
"988353","Linnebur, Matthew","m",2003-09-09,"Ba CS",8,"OOP",1,59
"856333","Sharza, Michael","m",1993-02-18,"Ba CS",7,"Computer Networks",1,67
"756426","Young, Jesus","m",2004-03-11,"Ba CS",4,"Mathematics",1,88
"412314","el-Rehmann, Muzna","f",1991-02-20,"Ba CS",9,"Software Engineering",1,72
"504182","Ejigu, Johnique","f",1998-01-09,"Ba CS",10,"Computer Networks",1,70
"914434","Punay, Prodeo","m",2000-09-02,"Ba CS",3,"Mathematics",1,87
"668928","Salter, Jaylen","m",2004-03-20,"Ba CS",10,"Computer Networks",1,87
"174439","Tribble, Raymond","m",1994-06-01,"Ba CS",10,"Data Bases",1,75
"310707","al-Afzal, Zainab","f",2001-12-30,"Ba CS",6,"Computer Networks",1,63
"159395","el-Hatem, Shuraih","m",1995-07-04,"Ba CS",6,"Mathematics",1,84
"588397","Stewart, Andrew","m",2003-09-11,"Ba BIS",5,"Computer Networks",1,73
